_key,cik_str,ticker,title
473,783280,DRE,DUKE REALTY CORP
474,732834,CLR,"CONTINENTAL RESOURCES, INC"
475,63754,MKC,MCCORMICK & CO INC
476,1713683,ZS,"Zscaler, Inc."
477,1650107,CCEP,COCA-COLA EUROPACIFIC PARTNERS plc
478,65984,ETR,ENTERGY CORP /DE/
479,1002910,AEE,AMEREN CORP
480,885834,TSCDY,TESCO PLC /FI
481,1012037,CODYY,COMPAGNIE DE SAINT GOBAIN
482,35527,FITB,FIFTH THIRD BANCORP
483,1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC."
484,1659166,FTV,Fortive Corp
485,1067701,URI,"UNITED RENTALS, INC."
486,92380,LUV,SOUTHWEST AIRLINES CO
487,1140536,WTW,WILLIS TOWERS WATSON PLC
488,920148,LH,LABORATORY CORP OF AMERICA HOLDINGS
489,1097149,ALGN,ALIGN TECHNOLOGY INC
490,1639920,SPOT,Spotify Technology S.A.
491,1434265,GMAB,GENMAB A/S
492,1396009,VMC,Vulcan Materials CO
493,850918,GWLIF,GREAT-WEST LIFECO INC.
494,926042,TTM,TATA MOTORS LTD/FI
495,858470,CTRA,Coterra Energy Inc.
496,1450346,POAHY,Porsche Automobil Holding SE / ADR
497,1687229,INVH,Invitation Homes Inc.
498,1243429,MT,ArcelorMittal
499,733099,RCI,ROGERS COMMUNICATIONS INC
500,1444406,EC,ECOPETROL S.A.
501,1383650,CQP,"Cheniere Energy Partners, L.P."
502,1666175,FTS,Fortis Inc.
503,1335258,LYV,"Live Nation Entertainment, Inc."
504,1590955,PAYC,"Paycom Software, Inc."
505,916076,MLM,MARTIN MARIETTA MATERIALS INC
506,1691493,NU,Nu Holdings Ltd.
507,1439124,EBR,BRAZILIAN ELECTRIC POWER CO
508,1031296,FE,FIRSTENERGY CORP
509,27904,DAL,"DELTA AIR LINES, INC."
510,1176948,ARES,Ares Management Corp
511,40987,GPC,GENUINE PARTS CO
512,1539838,FANG,"Diamondback Energy, Inc."
513,1677250,ZTO,ZTO Express (Cayman) Inc.
514,1757898,STE,STERIS plc
515,1324404,CF,"CF Industries Holdings, Inc."
516,1447629,LNNGY,Li Ning Co. Ltd.
517,916365,TSCO,TRACTOR SUPPLY CO /DE/
518,912595,MAA,MID AMERICA APARTMENT COMMUNITIES INC.
519,313927,CHD,CHURCH & DWIGHT CO INC /DE/
520,1014473,VRSN,VERISIGN INC/CA
521,720005,RJF,RAYMOND JAMES FINANCIAL INC
522,1651308,BGNE,"BeiGene, Ltd."
523,874766,HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC."
524,1884082,PSNY,Polestar Automotive Holding UK PLC
525,922224,PPL,PPL Corp
526,1061574,GIB,CGI INC
527,73124,NTRS,NORTHERN TRUST CORP
528,912593,SUI,SUN COMMUNITIES INC
529,2809,AEM,AGNICO EAGLE MINES LTD
530,1699150,IR,Ingersoll Rand Inc.
531,1697862,ARGX,ARGENX SE
532,1673358,YUMC,"Yum China Holdings, Inc."
533,1546066,PBA,PEMBINA PIPELINE CORP
534,1321655,PLTR,Palantir Technologies Inc.
535,1766502,CHWY,"Chewy, Inc."
536,1810997,XPEV,XPENG INC.
537,1000697,WAT,WATERS CORP /DE/
538,1130310,CNP,CENTERPOINT ENERGY INC
539,1070304,IX,ORIX CORP
540,1281761,RF,REGIONS FINANCIAL CORP
541,740260,VTR,"Ventas, Inc."
542,1596783,CTLT,"Catalent, Inc."
543,811156,CMS,CMS ENERGY CORP
544,63271,PCRFY,PANASONIC Corp
545,1403568,ULTA,"Ulta Beauty, Inc."
546,1383312,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC."
547,1050915,PWR,"QUANTA SERVICES, INC."
548,31791,PKI,PERKINELMER INC
549,728535,JBHT,HUNT J B TRANSPORT SERVICES INC
550,49196,HBAN,HUNTINGTON BANCSHARES INC /MD/
551,1794515,ZI,ZoomInfo Technologies Inc.
552,29905,DOV,DOVER Corp
553,891103,MTCH,"Match Group, Inc."
554,1511737,UI,Ubiquiti Inc.
555,1700171,ANYYY,Aena S.A./ADR
556,1554394,LGFRY,Longfor Group Holdings Limited/ADR
557,1722482,AVTR,"Avantor, Inc."
558,1179929,MOH,"MOLINA HEALTHCARE, INC."
559,1634997,AGR,"Avangrid, Inc."
560,1121788,GRMN,GARMIN LTD
561,46619,HEI,HEICO CORP
562,920522,ESS,"ESSEX PROPERTY TRUST, INC."
563,1060955,ICLR,ICON PLC
564,1437775,ATASY,Atlantia SpA
565,1611983,LBRDA,Liberty Broadband Corp
566,1455967,PTAIY,PT Astra International Tbk / ADR
567,1406234,BIP,Brookfield Infrastructure Partners L.P.
568,1805284,RKT,"Rocket Companies, Inc."
569,1645590,HPE,Hewlett Packard Enterprise Co
570,1041792,ELP,ENERGY CO OF PARANA
571,1748790,AMCR,Amcor plc
572,84839,ROL,ROLLINS INC
573,4127,SWKS,"SKYWORKS SOLUTIONS, INC."
574,1802768,RPRX,Royalty Pharma plc
575,1404655,HUBS,HUBSPOT INC
576,759944,CFG,CITIZENS FINANCIAL GROUP INC/RI
577,1754301,FOXA,Fox Corp
578,79282,BRO,"BROWN & BROWN, INC."
